adm0_id,adm1_id,population
70,900406,60906
70,900407,96609
70,900408,480481
70,900409,57324
70,900410,140136
72,901059,283875
72,901060,302361
72,901061,943268
72,901062,421369
72,901063,142079
72,901064,166755
72,901065,311476
72,901066,169437
72,901067,84057
72,901068,100884
72,901069,64572
72,901070,162190
72,901071,47865
72,901072,204916
72,901073,221407
72,901074,253487
72,901075,611157
72,901076,53609
72,901077,138202
72,901078,189029
72,901079,63076
72,901080,55952
72,901081,64470
72,901082,213565
72,901083,81454
72,901084,472553
72,901085,261494
72,901086,343835
72,901087,211535
72,901088,93284
72,901089,956692
72,901090,2937257
73,1135,840310
73,1136,196727
73,1137,240855
73,1138,175084
73,1139,515051
73,1140,473773
73,1141,667951
73,1142,648510
73,1143,32315
73,1144,4189512
73,1145,454887
73,1146,487475
73,1147,921366
73,1148,1560752
73,1149,191207
73,1150,169549
73,1151,220437
73,1152,115178
73,1153,3149913
73,1154,246272
73,1155,571137
73,1156,111165
73,1157,39394
73,22007,394477
73,22008,471060
40765,900913,8798664
40765,900914,5094183
40765,900915,708823
40765,900916,671326
40765,900917,1482012
40765,900918,6653636
40765,900919,7167022
40765,900920,5732356
40765,900921,3527948
40765,900922,5127979
40765,900923,4357751
40765,900924,6352855
40765,900925,1383651
40765,900926,9896087
40765,900927,3187913
40765,900928,3519523
40765,900929,5643937
40765,900930,4734388
40765,900931,5039377
40765,900932,2196005
40765,900933,1569359
40765,900934,3797229
40765,900935,355268
40765,900936,246904
40765,900937,526019
40765,900938,481041
40765,900939,172341
75,900381,362993
75,900382,155193
75,900383,229645
75,900384,289242
75,900385,817773
75,900386,358459
75,900387,217868
75,900388,186236
75,900389,452938
75,900390,1733605
75,900391,174790
75,900392,575905
75,900393,503963
75,900394,362134
235,900889,320911
235,900890,224214
235,900891,369810
235,900892,221256
79,900532,3602079
79,900533,2104233
79,900534,23475227
79,900535,1284267
79,900536,486983
79,900537,577881
79,900538,263906
79,900539,41871355
79,900541,6844894
79,900542,6014861
79,900540,22698867
90,1285,235696
90,1287,81218
90,1288,274287
90,1289,258941
90,1290,1013064
90,112869,416895
94,900854,6085773
94,900855,2638779
94,900856,2641901
94,900857,3047090
94,900858,5000692
94,900859,3128506
94,900860,1062749
94,900861,755200
94,900862,2666073
94,900863,2740346
103,64821,3421334
103,64822,196534
103,64823,349242
103,64824,746931
103,64825,764128
103,64826,414457
103,64827,528876
103,64828,584891
103,64829,921137
103,64830,640344
103,64831,329686
103,64832,1193780
103,64833,1308309
103,64834,1260504
103,64835,340872
103,64836,1395769
103,64837,829950
103,64838,462189
103,64839,243518
103,64840,427836
103,64841,391493
103,64842,496028
106,900028,1125617
106,40701,1511756
106,40702,1143578
106,40703,2639297
106,900027,2253790
106,40705,1128713
106,40706,815643
106,40707,1795921
105,1385,261682
105,1386,134393
105,1387,32157
105,1388,182877
105,1389,286370
105,1390,279941
105,1391,67204
105,1392,549800
105,1393,79886
108,901008,463892
108,901009,728807
108,901010,342525
108,901001,4029705
108,901002,660325
108,901003,1067177
108,901004,393967
108,901005,1727524
108,901006,746236
108,901007,745990
111,901015,500364
111,901016,356505
111,901017,606976
111,901018,439020
111,901019,1822204
111,901020,466015
111,901021,514001
111,901022,1745447
111,901023,106424
111,901024,269375
111,901025,75838
111,901026,229444
111,901027,374818
111,901028,176154
111,901029,596302
111,901030,486252
111,901031,180396
111,901032,641988
115,1484,362682
115,1487,34332535
115,1488,124996812
115,1489,18472582
115,1490,1510155
115,1491,68026291
115,1492,29143601
115,1493,7629783
115,1494,68313196
115,1495,33102111
115,1496,44571
115,1497,83832252
